relative_path	role	size_bytes	sha256
data/figure_tables/A2_MFI_by_Gene_table.csv	processed_figure_input	238	b3060b769545d849c3cd3099baa09c2c5f6dbd002b650c08f7313a785d0558db
data/figure_tables/flow_panel_sources/Histogram.svg	small_source_asset	155753	b9db93531bb811db20ed714d7cadf645d51fd7466c3c5f6f70ae797d98312157
data/figure_tables/rnaseq_counts/JTRWM7_gene_count_summary.tsv	processed_figure_input	2395	e427b3676f8e1d79dff20da28df1722cef7d0f0c5c1da1e05696a44228dd5ade
data/figure_tables/rnaseq_counts/JTRWM7_gene_counts_by_index.tsv	processed_figure_input	5658750	d2202cddd1b646c1c3fcecda2dcf1b76df77a7d88d362e420f91af0ecff00495
data/figure_tables/rnaseq_counts/JTRWM7_sample_map.tsv	processed_figure_input	2821	478328d77c8ce9dc0402b50c66e37af391de938443c4134d0261e5c8aebb54a8
data/figure_tables/rnaseq_volcano/Index_10_vs_9.tsv	processed_figure_input	3028820	5ec8040e3b7ee267e0a2c0d5f5bebf2735fd6e14c762fa8c862b908c7a73d7bf
data/figure_tables/rnaseq_volcano/Index_10_vs_9_labels.tsv	processed_figure_input	2786	2c9719ddb1f13af5c0779c05f0d5424fdd2025634dcf8522d67668cf0c799465
data/figure_tables/rnaseq_volcano/Index_4_vs_3.tsv	processed_figure_input	2821847	069dc2810948db962c8a68162befcc3bee7b38a6df0fb32636d0ee0305c388bd
data/figure_tables/rnaseq_volcano/Index_4_vs_3_labels.tsv	processed_figure_input	2547	949ce22fbd01ee8765dbd8f7a03647ba29763c67948c59765af83dafea562363
data/figure_tables/rnaseq_volcano/Index_6_vs_5.tsv	processed_figure_input	2667094	efc81fe829b5f2a5a686f4d84dcd0f3ed61619c95407eacb108509430423f2da
data/figure_tables/rnaseq_volcano/Index_6_vs_5_labels.tsv	processed_figure_input	2466	3094307f9d7a3890ddf13ed21417c45590e321402b6b9d8bdfccc64d6365319a
data/figure_tables/rnaseq_volcano/Index_8_vs_7.tsv	processed_figure_input	3144061	53c989aa7aca942dc73042e701b760c707fee6677631fdf9ced63fcfabab629a
data/figure_tables/rnaseq_volcano/Index_8_vs_7_labels.tsv	processed_figure_input	2594	3d2b2f1c8e3622d87ecddb82e5368b35b5975bb5e09eb9d2d16c3a851119f5f4
data/figure_tables/rnaseq_volcano/all_pairwise_volcano_results.tsv	processed_figure_input	11661327	81a2dfdd78d62f01c75c886f1f3db2eb62ed90d580a5b4173d5aeaf5c9609c1b
