relative_path	role	size_bytes	sha256
data/figure_tables/B.sgrna_summary_barcode_stack_table.csv	processed_figure_input	8634735	9c1bb863957aa77c8ee5b847e1aa9a5b24034fda49711096776769dfb2dd2b44
data/figure_tables/B_vs_C_dotplot_labels.csv	processed_figure_input	9500	d4381f11b41a8181d91a7f0b1c702c44813c1b8c4c5f247399aef061b20dd066
data/figure_tables/B_vs_C_dotplot_table.csv	processed_figure_input	6020095	900f15c71ee0a9d0df9c5fde19bafd449badca8cfeaedb352310fa3de8f256bb
data/figure_tables/C.sgrna_summary_barcode_stack_table.csv	processed_figure_input	8596022	73ebe2ec2ed37ebc955447da561628eef675b8511a72b2dafe8fd877f637c006
data/figure_tables/NT466_B__collapsed_hd3_ratio10__perID_UMI_counts.csv	processed_figure_input	1573712	cfdc8946bf7a5170cd076cbb1b9abfdc2135cbf169e6e73dd9ca52d17a315760
data/figure_tables/NT466_C__collapsed_hd3_ratio10__perID_UMI_counts.csv	processed_figure_input	1576046	205cd88dd0373b138e5ba1311bc8577a642747ce48e5298d55881c57f078e19f
data/figure_tables/NT466_D__collapsed_hd3_ratio10__perID_UMI_counts.csv	processed_figure_input	1559948	da3d3fc758bb3e79eee57b27ebe35d688356ed31a247c37a09854a394f7ebbb6
data/figure_tables/NT466_K__collapsed_hd3_ratio10__perID_UMI_counts.csv	processed_figure_input	1593107	a570d56aa22841fb89c06f7a696b5d63f875602e479d6223017f2aa27db13f46
data/figure_tables/NT466_combined.csv	processed_figure_input	5729714	f1c26a1939adfc061235283f2bbbee99309dfff5b64bd27551a3465f3420f4bb
data/figure_tables/UMI_count_per_ID_summary.csv	processed_figure_input	377	f3eecd235521c5dfd0d1c70e7f1b00f5a50a8ea9b0ccca358e3059b61d383486
data/figure_tables/decontamination_lfc_summary.csv	processed_figure_input	643	1f27cc4c7a2bc6954037ff6a0522beea062e00d1360923d70e654fd375d4a2a6
data/figure_tables/decontamination_lfc_table.csv	processed_figure_input	15557406	e05b19581a2c6e09357c61a2c49509d57d97347d7974b213d3cdd7bab2b2396d
data/figure_tables/hits_neg.tsv	processed_figure_input	27404	10391af91de12adaf9969f0b07e97d97b509a349a701473aab4ef4911317fa65
data/figure_tables/hits_neg_depmap.tsv	processed_figure_input	16752	89204d665776ff09051ec9b384a81edeb6d7146e1697130c7ce1b3ad1654f80a
data/figure_tables/hits_pos.tsv	processed_figure_input	17395	b8155627f82fc872235509c921e837393da1c7682534d8ceb0953c4212462c7e
data/figure_tables/hits_pos_depmap.tsv	processed_figure_input	8359	f35f9a291cca643511f46daf95a885788904849eaa0422d03889b35275e9e1b8
data/figure_tables/program_card_input.csv	processed_figure_input	12794	bdb6ca479dbd16417421cd901adf0c8b0577bfc69bf04ee479b556df83776de2
data/figure_tables/program_card_parameters.json	processed_figure_input	715	28ec1a6f62b9147a32f4508b7007dbd406a7f505d54b48529489fcfae3ef1853
data/figure_tables/program_card_render_summary.csv	processed_figure_input	4053	51184a81cd9dc0cb8c2382093411b29974bf15bb91206a8d64c0ac8d8dcfa7fd
data/figure_tables/relay_hit_program_annotations.csv	processed_figure_input	144625	3c26e62d5c97cc57a1d678cba7c619d397b3bfbc865c1962c8dfa0084bf01777
data/figure_tables/relay_hits_regenerated.csv	processed_figure_input	32044	c2f1a9bd0ec40c2669530a9fd2eaace216aae94550c2f230ca15ed527845a7e6
data/figure_tables/validation_heatmap_293T_table.csv	processed_figure_input	1518	ff6565016078715dd2aad8d767a8b37efac5479db26c8e1798ff5a9e7d0de8cd
data/figure_tables/validation_heatmap_K562_table.csv	processed_figure_input	2022	f464e74e0d61c5340151ecd9649ba6b22cb355fd0ba8da95077c104d6faa7e1f
